"","anthesis","TAir","TPan"
"220",21.9,23.6845246360653,25.3727634909822
"221",22,23.6422979265277,25.3574084748147
"222",22.1,23.6011137981634,25.3424812034348
"223",22.2,23.5609465095513,25.3279688874828
"224",22.3,23.5217709548287,25.3138591521335
"225",22.4,23.4835626479986,25.3001400227202
"226",22.5,23.4462977076253,25.2867999108704
"227",22.6,23.4099528419081,25.2738276011351
"228",22.7,23.3745053341228,25.261212238097
"229",22.8,23.339933028423,25.2489433139389
"230",22.9,23.3062143159924,25.2370106564579
"231",23,23.273328121538,25.225404417509
"232",23.1,23.2412538901177,25.2141150618636
"233",23.2,23.2099715742928,25.2031333564685
"234",23.3,23.1794616215976,25.19245036009
"235",23.4,23.1497049623185,25.1820574133316
"236",23.5,23.1206829975746,25.1719461290096
"237",23.6,23.0923775876935,25.1621083828759
"238",23.7,23.0647710408723,25.1525363046741
"239",23.8,23.0378461021208,25.1432222695175
"240",23.9,23.0115859424757,25.1341588895773
